sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
APPL-00001742,2024-07-19,2024,Q3,July,Chile,South America,Antofagasta,AirPods (3rd Gen),AirPods,,Midnight,156.52,0,5,156.52,782.6,CLP,960.0,751296.0,Authorized Reseller,Net Banking,Individual,55+,,3.1,Kept
APPL-00002225,2024-03-28,2024,Q1,March,Colombia,South America,Bogotá,MacBook Air 13-inch (M2),Mac,2 TB SSD,Starlight,1099.5,0,2,1099.5,2199.0,COP,3960.0,8708040.0,Carrier Store,Cash,Business,35–44,,,Kept
APPL-00002309,2023-01-05,2023,Q1,January,Colombia,South America,Cúcuta,AirPods Pro (2nd Gen),AirPods,,Starlight,260.11,5,1,247.1,247.1,COP,3960.0,978516.0,Corporate / B2B,Credit Card,Individual,45–54,,,Kept
APPL-00001724,2022-09-16,2022,Q3,September,Chile,South America,Antofagasta,iPhone 13 Mini,iPhone,1 TB,Deep Purple,597.64,7,1,555.81,555.81,CLP,960.0,533577.6,Carrier Store,Net Banking,Education,25–34,iOS 17,,Kept
APPL-00001398,2024-01-13,2024,Q1,January,Brazil,South America,Rio de Janeiro,iPad Pro 11-inch (M2),iPad,1 TB,Starlight,846.61,0,1,846.61,846.61,BRL,4.97,4207.65,Carrier Store,Cash,Individual,35–44,,4.5,Kept
APPL-00002217,2022-11-19,2022,Q4,November,Colombia,South America,Bogotá,iPad Mini (6th Gen),iPad,256 GB,Space Gray,514.42,0,3,514.42,1543.26,COP,3960.0,6111309.6,Corporate / B2B,Net Banking,Education,45–54,,4.4,Returned
APPL-00002303,2022-05-26,2022,Q2,May,Colombia,South America,Cúcuta,iPhone 15,iPhone,128 GB,Black,810.61,7,1,753.87,753.87,COP,3960.0,2985325.2,Apple Store,Debit Card,Education,25–34,iOS 17,3.6,Kept
APPL-00001934,2023-04-02,2023,Q2,April,Chile,South America,Valparaíso,iPhone 14,iPhone,128 GB,Product Red,847.14,7,3,787.84,2363.52,CLP,960.0,2268979.2,Apple Store,Debit Card,Individual,45–54,iOS 15,4.8,Kept
APPL-00001809,2022-05-13,2022,Q2,May,Chile,South America,La Serena,AirPods (3rd Gen),AirPods,,Midnight,176.56,5,4,167.73,670.92,CLP,960.0,644083.2,Carrier Store,Credit Card,Education,35–44,,,Kept
APPL-00001803,2024-12-30,2024,Q4,December,Chile,South America,Concepción,Apple Watch Series 9,Apple Watch,,Midnight,389.49,2,3,381.7,1145.1,CLP,960.0,1099296.0,Third-Party Retailer,Apple Pay,Individual,45–54,,,Kept
APPL-00001879,2023-07-18,2023,Q3,July,Chile,South America,Santiago,Apple Pencil (1st Gen),Accessories,,Space Gray,94.96,0,2,94.96,189.92,CLP,960.0,182323.2,Apple Store,Credit Card,Individual,25–34,,,Kept
APPL-00001895,2022-03-27,2022,Q1,March,Chile,South America,Temuco,Apple Watch Ultra 2,Apple Watch,,Titanium,853.57,2,1,836.5,836.5,CLP,960.0,803040.0,Corporate / B2B,Gift Card,Individual,25–34,,,Kept
APPL-00001323,2022-06-24,2022,Q2,June,Brazil,South America,Guarulhos,Apple TV 4K (3rd Gen),Accessories,,Black,137.86,15,1,117.18,117.18,BRL,4.97,582.38,Corporate / B2B,Gift Card,Education,45–54,,,Kept
APPL-00002374,2023-07-27,2023,Q3,July,Colombia,South America,Medellín,AirPods Max,AirPods,,Midnight,543.04,10,1,488.74,488.74,COP,3960.0,1935410.4,Third-Party Retailer,Gift Card,Business,25–34,,4.6,Kept
APPL-00001822,2023-06-19,2023,Q2,June,Chile,South America,La Serena,Apple Watch Series 8,Apple Watch,,Titanium,322.68,10,2,290.41,580.82,CLP,960.0,557587.2,Authorized Reseller,Net Banking,Government,25–34,,3.9,Kept
APPL-00001861,2022-01-11,2022,Q1,January,Chile,South America,Santiago,iPhone 13 Mini,iPhone,64 GB,Deep Purple,605.97,3,2,587.79,1175.58,CLP,960.0,1128556.8,Online (Apple.com),Cash,Education,25–34,Android,4.7,Kept
APPL-00002400,2023-09-29,2023,Q3,September,Colombia,South America,Pereira,iPhone 14 Pro Max,iPhone,64 GB,Yellow,1047.58,0,1,1047.58,1047.58,COP,3960.0,4148416.8,Third-Party Retailer,EMI / Installment,Business,35–44,iOS 16,,Kept
APPL-00000024,2024-04-19,2024,Q2,April,Argentina,South America,Buenos Aires,iPad Pro 11-inch (M2),iPad,128 GB,Purple,775.91,0,1,775.91,775.91,ARS,907.0,703750.37,Apple Store,Credit Card,Government,35–44,,4.7,Kept
APPL-00000031,2024-10-21,2024,Q4,October,Argentina,South America,Buenos Aires,USB-C Woven Charge Cable,Accessories,,Silver,31.1,10,1,27.99,27.99,ARS,907.0,25386.93,Corporate / B2B,Cash,Education,45–54,,4.6,Kept
APPL-00001936,2023-05-16,2023,Q2,May,Chile,South America,Valparaíso,iPad Pro 12.9-inch (M2),iPad,128 GB,Gold,1154.9,0,2,1154.9,2309.8,CLP,960.0,2217408.0,Third-Party Retailer,Cash,Business,18–24,,3.8,Kept
APPL-00000011,2023-01-29,2023,Q1,January,Argentina,South America,Buenos Aires,iPad (10th Generation),iPad,128 GB,Silver,415.15,7,2,386.09,772.18,ARS,907.0,700367.26,Third-Party Retailer,Cash,Individual,45–54,,,Kept
APPL-00000175,2023-07-12,2023,Q3,July,Argentina,South America,Rosario,Apple Pencil (1st Gen),Accessories,,Black,99.42,0,1,99.42,99.42,ARS,907.0,90173.94,Authorized Reseller,Debit Card,Government,55+,,3.3,Kept
APPL-00001728,2023-04-11,2023,Q2,April,Chile,South America,Antofagasta,iPhone 13 Pro,iPhone,64 GB,Natural Titanium,861.5,15,2,732.27,1464.54,CLP,960.0,1405958.4,Corporate / B2B,Gift Card,Business,45–54,iOS 15,,Kept
APPL-00001849,2023-07-08,2023,Q3,July,Chile,South America,Rancagua,iPad Mini (6th Gen),iPad,2 TB,Blue,484.28,15,2,411.64,823.28,CLP,960.0,790348.8,Online (Apple.com),Cash,Education,25–34,,3.0,Kept
APPL-00001927,2022-06-19,2022,Q2,June,Chile,South America,Valparaíso,iPhone 15 Pro Max,iPhone,1 TB,Blue Titanium,1126.49,15,2,957.52,1915.04,CLP,960.0,1838438.4,Apple Store,Net Banking,Government,35–44,Other,4.6,Kept
APPL-00001259,2023-09-23,2023,Q3,September,Brazil,South America,Campinas,MacBook Pro 14-inch (M3),Mac,2 TB SSD,Midnight,2152.02,0,1,2152.02,2152.02,BRL,4.97,10695.54,Corporate / B2B,Apple Pay,Business,35–44,,3.4,Kept
APPL-00000140,2023-08-03,2023,Q3,August,Argentina,South America,Mendoza,Apple TV 4K (3rd Gen),Accessories,,Black,131.62,10,2,118.46,236.92,ARS,907.0,214886.44,Online (Apple.com),Credit Card,Government,18–24,,,Kept
APPL-00001227,2022-05-08,2022,Q2,May,Brazil,South America,Belém,Magic Mouse,Accessories,,Black,75.4,5,1,71.63,71.63,BRL,4.97,356.0,Carrier Store,Apple Pay,Education,45–54,,3.1,Kept
APPL-00002361,2022-01-07,2022,Q1,January,Colombia,South America,Medellín,iPhone 14 Pro Max,iPhone,256 GB,White Titanium,1071.5,0,3,1071.5,3214.5,COP,3960.0,12729420.0,Apple Store,Gift Card,Government,35–44,iOS 15,4.7,Kept
APPL-00001426,2023-02-28,2023,Q1,February,Brazil,South America,São Luís,Apple Watch SE (2nd Gen),Apple Watch,,Natural,260.07,7,2,241.87,483.74,BRL,4.97,2404.19,Apple Store,Cash,Government,25–34,,4.4,Kept
APPL-00001390,2022-05-25,2022,Q2,May,Brazil,South America,Rio de Janeiro,iPhone 13 Mini,iPhone,64 GB,Yellow,583.51,3,6,566.0,3396.0,BRL,4.97,16878.12,Online (Apple.com),Apple Pay,Education,35–44,iOS 17,4.4,Kept
APPL-00002373,2023-04-02,2023,Q2,April,Colombia,South America,Medellín,iPhone 13 Pro Max,iPhone,512 GB,Silver,1169.58,0,2,1169.58,2339.16,COP,3960.0,9263073.6,Carrier Store,Cash,Government,25–34,iOS 16,4.8,Kept
APPL-00001773,2024-07-18,2024,Q3,July,Chile,South America,Arica,iPhone 14 Plus,iPhone,256 GB,Natural Titanium,959.14,3,2,930.37,1860.74,CLP,960.0,1786310.4,Corporate / B2B,Apple Pay,Government,45–54,iOS 17,,Kept
APPL-00001303,2024-05-30,2024,Q2,May,Brazil,South America,Fortaleza,iPhone 13 Pro Max,iPhone,1 TB,Natural Titanium,1024.89,0,1,1024.89,1024.89,BRL,4.97,5093.7,Authorized Reseller,Apple Pay,Business,55+,iOS 16,4.7,Kept
APPL-00000210,2023-07-27,2023,Q3,July,Argentina,South America,Salta,MacBook Air 13-inch (M2),Mac,1 TB SSD,Gold,1111.57,2,1,1089.34,1089.34,ARS,907.0,988031.38,Online (Apple.com),Gift Card,Business,45–54,,,Kept
APPL-00001797,2024-07-30,2024,Q3,July,Chile,South America,Concepción,iPhone 15 Plus,iPhone,1 TB,Deep Purple,963.92,0,1,963.92,963.92,CLP,960.0,925363.2,Apple Store,Gift Card,Education,18–24,Android,4.5,Kept
APPL-00001383,2023-12-18,2023,Q4,December,Brazil,South America,Recife,Apple Watch Series 8,Apple Watch,,Natural,321.58,5,1,305.5,305.5,BRL,4.97,1518.34,Apple Store,Net Banking,Business,45–54,,4.6,Kept
APPL-00001206,2022-09-21,2022,Q3,September,Brazil,South America,Belo Horizonte,Magic Trackpad,Accessories,,Space Gray,132.84,10,1,119.56,119.56,BRL,4.97,594.21,Carrier Store,Apple Pay,Individual,45–54,,3.4,Kept
APPL-00000435,2023-07-14,2023,Q3,July,Australia,Oceania,Melbourne,iPhone 15,iPhone,1 TB,Product Red,804.81,2,1,788.71,788.71,AUD,1.53,1206.73,Apple Store,Debit Card,Education,45–54,Android,3.2,Kept
APPL-00006190,2023-02-24,2023,Q1,February,New Zealand,Oceania,Auckland,Apple Watch Series 8,Apple Watch,,Product Red,285.62,10,1,257.06,257.06,NZD,1.63,419.01,Corporate / B2B,Net Banking,Government,18–24,,4.6,Kept
APPL-00006407,2023-08-16,2023,Q3,August,New Zealand,Oceania,Wellington,iPad (10th Generation),iPad,1 TB,Space Gray,418.51,0,3,418.51,1255.53,NZD,1.63,2046.51,Authorized Reseller,Gift Card,Education,55+,,3.2,Kept
APPL-00000334,2024-12-07,2024,Q4,December,Australia,Oceania,Canberra,Apple Watch Series 9,Apple Watch,,Starlight,394.56,0,1,394.56,394.56,AUD,1.53,603.68,Authorized Reseller,Debit Card,Business,18–24,,3.1,Kept
APPL-00006368,2022-01-19,2022,Q1,January,New Zealand,Oceania,Tauranga,Apple Watch Series 9,Apple Watch,,Natural,383.34,0,1,383.34,383.34,NZD,1.63,624.84,Third-Party Retailer,Gift Card,Business,35–44,,3.7,Kept
APPL-00000338,2022-04-13,2022,Q2,April,Australia,Oceania,Darwin,iPhone 15 Pro Max,iPhone,256 GB,Black,1267.52,0,5,1267.52,6337.6,AUD,1.53,9696.53,Carrier Store,Cash,Business,18–24,iOS 15,4.3,Exchanged
APPL-00006232,2023-10-10,2023,Q4,October,New Zealand,Oceania,Christchurch,MacBook Pro 14-inch (M3),Mac,256 GB SSD,Silver,2035.23,3,1,1974.17,1974.17,NZD,1.63,3217.9,Authorized Reseller,Cash,Individual,18–24,,4.9,Kept
APPL-00000402,2022-11-07,2022,Q4,November,Australia,Oceania,Hobart,iPhone 14 Pro,iPhone,64 GB,Silver,903.45,15,3,767.93,2303.79,AUD,1.53,3524.8,Corporate / B2B,Gift Card,Individual,18–24,iOS 16,3.3,Kept
APPL-00006387,2024-03-28,2024,Q1,March,New Zealand,Oceania,Tauranga,Apple Pencil (1st Gen),Accessories,,Black,102.94,0,2,102.94,205.88,NZD,1.63,335.58,Authorized Reseller,Cash,Business,18–24,,4.4,Kept
APPL-00006416,2024-06-18,2024,Q2,June,New Zealand,Oceania,Wellington,Apple Pencil (1st Gen),Accessories,,Black,106.58,3,3,103.38,310.14,NZD,1.63,505.53,Third-Party Retailer,Net Banking,Individual,18–24,,,Kept
APPL-00000480,2022-07-08,2022,Q3,July,Australia,Oceania,Perth,iPhone SE (3rd Gen),iPhone,128 GB,Yellow,419.98,0,3,419.98,1259.94,AUD,1.53,1927.71,Carrier Store,Credit Card,Education,25–34,New User,,Kept
APPL-00000271,2023-03-18,2023,Q1,March,Australia,Oceania,Adelaide,iPhone 14 Pro Max,iPhone,64 GB,Yellow,983.08,2,1,963.42,963.42,AUD,1.53,1474.03,Third-Party Retailer,Cash,Government,18–24,New User,4.3,Kept
APPL-00006330,2023-10-24,2023,Q4,October,New Zealand,Oceania,Napier-Hastings,Apple Watch Series 8,Apple Watch,,Titanium,289.86,0,5,289.86,1449.3,NZD,1.63,2362.36,Apple Store,Credit Card,Government,55+,,4.7,Kept
APPL-00000340,2022-05-24,2022,Q2,May,Australia,Oceania,Darwin,Magic Keyboard,Accessories,,Black,93.88,0,1,93.88,93.88,AUD,1.53,143.64,Carrier Store,Debit Card,Education,55+,,,Kept
APPL-00006239,2024-02-10,2024,Q1,February,New Zealand,Oceania,Christchurch,Apple Watch SE (2nd Gen),Apple Watch,,Silver,262.26,2,2,257.01,514.02,NZD,1.63,837.85,Corporate / B2B,Gift Card,Business,35–44,,3.5,Kept
APPL-00006389,2024-04-23,2024,Q2,April,New Zealand,Oceania,Tauranga,AirPods Pro (2nd Gen),AirPods,,White,253.54,0,1,253.54,253.54,NZD,1.63,413.27,Apple Store,Credit Card,Individual,18–24,,,Returned
APPL-00000386,2023-12-26,2023,Q4,December,Australia,Oceania,Gold Coast,Magic Mouse,Accessories,,White,82.37,0,2,82.37,164.74,AUD,1.53,252.05,Carrier Store,Debit Card,Business,35–44,,3.8,Kept
APPL-00006304,2024-11-19,2024,Q4,November,New Zealand,Oceania,Hamilton,Apple Watch Series 9,Apple Watch,,Black Titanium,430.4,15,1,365.84,365.84,NZD,1.63,596.32,Online (Apple.com),Cash,Business,18–24,,,Kept
APPL-00000457,2022-12-23,2022,Q4,December,Australia,Oceania,Newcastle,Apple Watch Series 9,Apple Watch,,Starlight,414.91,0,2,414.91,829.82,AUD,1.53,1269.62,Authorized Reseller,Cash,Education,25–34,,4.0,Kept
APPL-00006364,2024-12-07,2024,Q4,December,New Zealand,Oceania,Palmerston North,iPhone 15,iPhone,128 GB,Midnight,765.35,0,1,765.35,765.35,NZD,1.63,1247.52,Carrier Store,Cash,Government,45–54,Android,3.3,Kept
APPL-00006187,2023-01-18,2023,Q1,January,New Zealand,Oceania,Auckland,iPhone 13 Mini,iPhone,256 GB,Silver,637.2,15,2,541.62,1083.24,NZD,1.63,1765.68,Corporate / B2B,Debit Card,Education,18–24,iOS 15,,Kept
APPL-00006194,2023-04-23,2023,Q2,April,New Zealand,Oceania,Auckland,Apple Watch Series 8,Apple Watch,,Black Titanium,299.99,10,1,269.99,269.99,NZD,1.63,440.08,Carrier Store,Credit Card,Government,18–24,,3.5,Kept
APPL-00000292,2022-10-25,2022,Q4,October,Australia,Oceania,Brisbane,Apple Watch SE (2nd Gen),Apple Watch,,Product Red,262.98,7,2,244.57,489.14,AUD,1.53,748.38,Third-Party Retailer,Gift Card,Government,18–24,,3.1,Kept
APPL-00006417,2024-08-10,2024,Q3,August,New Zealand,Oceania,Wellington,iPhone 15,iPhone,1 TB,Black,845.79,0,1,845.79,845.79,NZD,1.63,1378.64,Apple Store,Apple Pay,Business,35–44,New User,4.5,Kept
APPL-00006337,2024-11-09,2024,Q4,November,New Zealand,Oceania,Napier-Hastings,Apple Pencil (2nd Gen),Accessories,,Silver,126.42,15,2,107.46,214.92,NZD,1.63,350.32,Apple Store,Gift Card,Business,35–44,,3.5,Kept
APPL-00006390,2024-07-18,2024,Q3,July,New Zealand,Oceania,Tauranga,iPad Air (M1),iPad,64 GB,Starlight,575.85,3,4,558.57,2234.28,NZD,1.63,3641.88,Third-Party Retailer,Net Banking,Business,55+,,3.9,Kept
APPL-00000341,2022-07-09,2022,Q3,July,Australia,Oceania,Darwin,iPhone 15 Pro Max,iPhone,128 GB,White Titanium,1176.84,15,1,1000.31,1000.31,AUD,1.53,1530.47,Corporate / B2B,EMI / Installment,Business,45–54,Other,4.3,Returned
APPL-00006370,2022-04-22,2022,Q2,April,New Zealand,Oceania,Tauranga,Apple Watch Series 8,Apple Watch,,Silver,287.92,0,1,287.92,287.92,NZD,1.63,469.31,Carrier Store,EMI / Installment,Business,55+,,4.1,Kept
APPL-00000472,2024-04-11,2024,Q2,April,Australia,Oceania,Newcastle,Apple TV 4K (3rd Gen),Accessories,,Black,131.54,0,3,131.54,394.62,AUD,1.53,603.77,Authorized Reseller,Net Banking,Business,35–44,,5.0,Kept
APPL-00006413,2024-03-24,2024,Q1,March,New Zealand,Oceania,Wellington,Apple Watch Series 8,Apple Watch,,Titanium,303.97,0,1,303.97,303.97,NZD,1.63,495.47,Authorized Reseller,Net Banking,Individual,35–44,,,Kept
APPL-00000434,2023-05-12,2023,Q2,May,Australia,Oceania,Melbourne,iPhone 14 Pro,iPhone,128 GB,Natural Titanium,925.64,0,1,925.64,925.64,AUD,1.53,1416.23,Online (Apple.com),EMI / Installment,Government,25–34,Android,3.9,Exchanged
APPL-00006236,2024-01-29,2024,Q1,January,New Zealand,Oceania,Christchurch,Mac mini (M2),Mac,2 TB SSD,Space Gray,600.44,0,1,600.44,600.44,NZD,1.63,978.72,Authorized Reseller,EMI / Installment,Business,25–34,,,Kept
APPL-00006291,2023-09-02,2023,Q3,September,New Zealand,Oceania,Hamilton,MacBook Pro 16-inch (M3 Pro),Mac,1 TB SSD,Gold,2612.15,5,1,2481.54,2481.54,NZD,1.63,4044.91,Online (Apple.com),Cash,Business,45–54,,3.6,Kept
APPL-00006278,2022-03-08,2022,Q1,March,New Zealand,Oceania,Hamilton,HomePod mini,Accessories,,Black,97.02,0,3,97.02,291.06,NZD,1.63,474.43,Third-Party Retailer,Gift Card,Business,25–34,,,Kept
APPL-00006383,2023-10-26,2023,Q4,October,New Zealand,Oceania,Tauranga,Apple Pencil (2nd Gen),Accessories,,Silver,135.23,0,1,135.23,135.23,NZD,1.63,220.42,Third-Party Retailer,Apple Pay,Government,35–44,,,Kept
APPL-00000415,2024-01-24,2024,Q1,January,Australia,Oceania,Hobart,HomePod mini,Accessories,,Silver,100.66,10,1,90.59,90.59,AUD,1.53,138.6,Third-Party Retailer,Net Banking,Business,35–44,,4.3,Kept
APPL-00000264,2022-03-06,2022,Q1,March,Australia,Oceania,Adelaide,iPhone 14 Plus,iPhone,1 TB,Yellow,861.39,0,1,861.39,861.39,AUD,1.53,1317.93,Online (Apple.com),Apple Pay,Government,35–44,Other,3.6,Kept
APPL-00006252,2022-02-26,2022,Q1,February,New Zealand,Oceania,Dunedin,iPhone 15 Pro Max,iPhone,512 GB,Black,1277.37,0,7,1277.37,8941.59,NZD,1.63,14574.79,Third-Party Retailer,Credit Card,Education,55+,New User,4.2,Kept
APPL-00000470,2024-01-13,2024,Q1,January,Australia,Oceania,Newcastle,iPhone 14 Pro Max,iPhone,512 GB,White Titanium,948.91,5,2,901.46,1802.92,AUD,1.53,2758.47,Third-Party Retailer,Net Banking,Education,45–54,New User,4.4,Returned
APPL-00000335,2022-01-15,2022,Q1,January,Australia,Oceania,Darwin,AirPods Max,AirPods,,Sky,506.31,5,3,480.99,1442.97,AUD,1.53,2207.74,Authorized Reseller,Debit Card,Government,45–54,,4.2,Kept
APPL-00006412,2024-02-23,2024,Q1,February,New Zealand,Oceania,Wellington,iPad Air (M1),iPad,1 TB,Gold,631.21,5,1,599.65,599.65,NZD,1.63,977.43,Third-Party Retailer,Debit Card,Business,55+,,4.0,Kept
APPL-00006223,2022-09-28,2022,Q3,September,New Zealand,Oceania,Christchurch,iPhone 15 Pro Max,iPhone,64 GB,Midnight,1162.83,0,1,1162.83,1162.83,NZD,1.63,1895.41,Online (Apple.com),Net Banking,Government,55+,iOS 17,4.5,Kept
APPL-00000466,2023-10-10,2023,Q4,October,Australia,Oceania,Newcastle,MacBook Air 13-inch (M2),Mac,256 GB SSD,Starlight,1019.09,5,2,968.14,1936.28,AUD,1.53,2962.51,Corporate / B2B,Cash,Government,25–34,,4.6,Kept
APPL-00000330,2024-07-21,2024,Q3,July,Australia,Oceania,Canberra,AirPods Pro (2nd Gen),AirPods,,White,252.17,15,1,214.34,214.34,AUD,1.53,327.94,Third-Party Retailer,Credit Card,Business,45–54,,5.0,Returned
APPL-00000352,2024-01-14,2024,Q1,January,Australia,Oceania,Darwin,iPhone 14 Plus,iPhone,1 TB,Starlight,957.68,3,5,928.95,4644.75,AUD,1.53,7106.47,Carrier Store,Apple Pay,Government,35–44,New User,,Kept
APPL-00006306,2024-12-10,2024,Q4,December,New Zealand,Oceania,Hamilton,Magic Keyboard,Accessories,,Silver,106.14,10,8,95.53,764.24,NZD,1.63,1245.71,Third-Party Retailer,Gift Card,Government,35–44,,3.3,Exchanged
APPL-00000295,2023-04-14,2023,Q2,April,Australia,Oceania,Brisbane,iPhone 14 Pro,iPhone,256 GB,Black,871.95,5,2,828.35,1656.7,AUD,1.53,2534.75,Corporate / B2B,Debit Card,Individual,25–34,iOS 16,5.0,Kept
APPL-00000332,2024-09-17,2024,Q3,September,Australia,Oceania,Canberra,AirPods (2nd Gen),AirPods,,Midnight,131.23,0,4,131.23,524.92,AUD,1.53,803.13,Corporate / B2B,Debit Card,Individual,35–44,,4.3,Returned
