track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7sVEoPc5ZUUQerRkgTypUZ,Javed Ali;Devi Sri Prasad,"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")",74,224072,False,0.787,0.603,9,-4.781,1,0.034,0.435,0.0,0.101,0.743,106.984,4,pop
7708qrA9gHIrwuVf6QdjAH,Feid,Reggeaton Imperdible,Castigo,3,177280,True,0.728,0.68,8,-4.129,0,0.165,0.0865,1.06e-06,0.1,0.704,179.839,4,pop
1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Lover,85,221306,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,pop
55LK166LWHOpXOroZ5g82J,Arko;Jubin Nautiyal,The Shaukeens,Meherbani,65,243591,False,0.41,0.455,4,-8.071,1,0.0316,0.731,0.0,0.185,0.361,90.993,4,pop
1NoaJoxPKQr9XNLOuKTyNV,A.R. Rahman;Silambarasan TR;Rakshita Suresh,"Kaalathukkum Nee Venum (From ""Vendhu Thanindhathu Kaadu"")","Kaalathukkum Nee Venum - From ""Vendhu Thanindhathu Kaadu""",65,293546,False,0.718,0.458,7,-10.632,1,0.033,0.685,0.00222,0.118,0.567,119.958,4,pop
2XfkKphS1o6JF9N3AZbVju,Justin Bieber,Pop Christmas 2022,Mistletoe,0,183066,False,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop
7Em0lueWaMfJ4MWMDdSGNt,Yuvan Shankar Raja;Sid Sriram,Naane Varuvean,Pinju Pinju Mazhai,30,318427,False,0.746,0.649,11,-10.096,0,0.0327,0.587,1.23e-05,0.134,0.654,104.984,4,pop
1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,In The Stars,86,216410,False,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3,pop
0PDwgRrbKYOgZS82F8uvPt,Justin Bieber,Christmas 2022,Mistletoe,4,183066,False,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop
5so1wKv1JCcpllBGxrOjjL,David Guetta;Sam Martin,EDM Hits,Dangerous - David Guetta Banging Remix,0,367786,False,0.698,0.931,11,-4.32,0,0.0595,0.0237,0.852,0.0767,0.0825,128.004,4,pop
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,pop
7cVe3mYMIfhOlz1NXFWv70,Sidhu Moose Wala,No Name,0 to 100,71,108493,False,0.742,0.675,8,-6.551,1,0.0907,0.139,0.0,0.167,0.679,145.989,4,pop
4TmPunCnlJjiKu2iYhqapU,Billie Eilish,Halloween & Chill,Lost Cause,0,212496,True,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,4,pop
4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,175238,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,pop
055360csWJbFFGCLNxaTkx,Ed Sheeran;Elton John,Merry Christmas,Merry Christmas,7,208546,False,0.594,0.935,0,-2.018,1,0.0357,0.243,2.36e-06,0.102,0.602,113.99,4,pop
1cKHdTo9u0ZymJdPGSh6nq,The Weeknd;Gesaffelstein,"My Dear Melancholy,",I Was Never There,90,241066,False,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,pop
4tjLYTXFqZhkUDga4bQ0yl,Neha Kakkar;Dhvani Bhanushali;Ikka;Tanishk Bagchi,"Dilbar (From ""Satyameva Jayate"")","Dilbar (From ""Satyameva Jayate"")",66,184432,False,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,4,pop
71mHO4fFmS2Xu5XxZbcRND,Chris Brown,Under The Influence,Under The Influence (Body Language),77,148750,True,0.62,0.62,1,-6.322,0,0.0375,0.0388,0.000213,0.129,0.459,144.835,4,pop
1n5gnI3Wue9WBpYFOIQNh1,Harris Jayaraj;Naresh Iyer;Prashanthini,Vaaranam Aayiram (Original Motion Picture Soundtrack),Mundhinam,64,341386,False,0.474,0.548,11,-8.614,1,0.331,0.237,0.0,0.0791,0.676,193.671,4,pop
2Wzl4bZLjqFUOeZaGrTaVJ,YUNGBLUD,Drippy Drippy,parents,0,172026,True,0.594,0.833,9,-4.311,0,0.0507,0.00967,0.0,0.3,0.599,82.04,4,rock
1UEj7RpdqH02grDvdxTKLP,All Time Low,Alternative Christmas 2022,"Merry Christmas, Kiss My Ass",0,199253,False,0.574,0.966,4,-3.034,1,0.0685,0.0141,0.0,0.43,0.788,128.034,4,rock
3SCYKwSFwlSe5xEvVlcP1W,George Strait,Country Christmas Greatest Hits,Jingle Bell Rock,1,132493,False,0.775,0.562,4,-6.041,0,0.0299,0.468,0.0,0.174,0.77,121.034,4,rock
1NhPKVLsHhFUHIOZ32QnS2,OneRepublic,Waking Up,Secrets,76,224693,False,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,4,rock
1ihSSnA4d0dcxQouy7gtNJ,Juanes,Retro Baladas,Es Por Ti,0,251120,False,0.694,0.761,4,-6.066,1,0.0263,0.176,3.63e-05,0.123,0.866,129.953,4,rock
333WK4wUSAfawJhirnJFAG,Rod Stewart;Michael Bublé,Holidays Are Coming,Winter Wonderland,0,143226,False,0.684,0.491,0,-7.655,1,0.0361,0.71,0.0,0.144,0.4,117.916,4,rock
4dWWUYR9l8xKi9CqXCG8ke,Rod Stewart,Feeling Good - Adult Pop Favorites,If I Had You,1,258293,False,0.579,0.635,10,-7.385,1,0.0393,0.302,1.25e-06,0.15,0.612,139.456,4,rock
57bgtoPSgt236HzfBOd8kj,AC/DC,The Razors Edge,Thunderstruck,84,292880,False,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,rock
7oAf0lBjipjSfyay9M8wQ6,Lenny Kravitz,90's Music Grandi Successi,I Belong To You,1,257066,False,0.691,0.686,7,-7.465,0,0.0493,0.000647,0.00456,0.106,0.666,87.312,4,rock
5HNau9WX6OmX2PcBn3n24r,Red Hot Chili Peppers,20's Rock,Black Summer,0,232412,False,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,4,rock
4KiQwHi8V3XIVeLjOfQZ69,The Goo Goo Dolls,Rock - Best of 2022,"Yeah, I Like You",3,264466,False,0.479,0.938,2,-3.058,1,0.0376,7.54e-05,0.000153,0.117,0.431,140.056,4,rock
0vlXeqFl1qgL9fkq1wnPgp,OneRepublic,World's Best Christmas Playlist,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,rock
3Pv0B02xwtEzRDmznY2JPz,The Beach Boys,World's Best Christmas Playlist,God Only Knows - Mono / 1997 Remastered,0,173040,False,0.524,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.482,117.108,4,rock
6iUGnSHReCwgHA00XVKPPe,Owl City,Pop Christmas 2022,Peppermint Winter,0,240560,False,0.451,0.803,0,-4.932,1,0.0398,0.208,0.0,0.0764,0.145,153.95,3,rock
0qU2ukOrwNTkA9mB6bb1DJ,David Bisbal;Sebastian Yatra,Para entrar en calor,A Partir De Hoy,0,196802,False,0.652,0.847,6,-5.035,1,0.0552,0.188,0.0,0.378,0.515,163.942,4,rock
5llJJM8CQpZhfUBwrJzp4c,Blur,Alternative Rock Mixtape,The Universal,1,238520,False,0.32,0.546,9,-8.33,1,0.0278,0.181,1.98e-06,0.0928,0.263,163.824,3,rock
3GyfNumvRBeKNcRAdClLdD,Bastille,Arbeitsmusik Herbst/Winter 2022/2023,Shut Off The Lights,0,187363,False,0.624,0.908,10,-3.215,1,0.0992,0.408,0.0,0.139,0.659,105.048,4,rock
0QBrw0zGpCa8gKIJd2KDGo,Counting Crows,Del gusto de mamá,Mr. Jones,0,272733,False,0.571,0.836,0,-5.556,1,0.0371,0.194,4.09e-06,0.182,0.73,141.612,4,rock
2UREu1Y8CO4jXkbvqAtP7g,Skillet,Awake,Monster,77,178013,False,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,rock
0teZhueymP3jVU4AXSqpkM,Bryan Adams,Christmas Best Hits 2022,Merry Christmas,0,151387,False,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,rock
7xsnFEgiTGz6Zk4oSZ7Olx,The Cranberries,Hits Pop Rock 90's,Ode To My Family,1,270786,False,0.365,0.517,7,-6.635,1,0.0243,0.0622,0.0,0.265,0.0777,93.862,4,rock
5nlwgUs9iUPoRr8kPEHONO,blink-182,Halloween Party Canzoni per Bambini 2022,Ghost On The Dance Floor,0,257519,True,0.532,0.969,11,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,4,rock
077QV0UtmRfVEw6kFvminm,Bryan Adams,90's Music Grandi Successi,(Everything I Do) I Do It For You,2,394133,False,0.526,0.365,1,-12.605,1,0.028,0.0775,1.37e-05,0.0618,0.254,131.251,4,rock
0ZbM1R59Myxx7VRyXDQkmi,The Cranberries,Halloween Party 2022,Zombie,2,307440,False,0.252,0.738,7,-5.326,1,0.0446,0.0145,0.000497,0.375,0.256,165.187,4,rock
08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,Back In Black,85,255493,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,rock
1JZQrwNrQVl2B6IMzepkxA,Fall Out Boy,Halloween Party 2022,My Songs Know What You Did In The Dark (Light Em Up),0,186826,False,0.557,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.566,151.988,4,rock
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,AM,Do I Wanna Know?,88,272394,False,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,rock
7os4oiaoa9iyBrf9jZxmJ6,Sam Fender,Alternative Christmas 2022,The Dying Light - Winter Edit,0,215493,False,0.459,0.606,10,-5.694,1,0.038,0.296,8.37e-05,0.113,0.234,129.142,4,rock
2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent,79,183893,False,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4,rock
1Ukz0CbWzSxCx8IEMGvvIE,Steely Dan,Best 70s Rock Tunes,Midnite Cruiser,0,246600,False,0.64,0.644,1,-10.273,1,0.0283,0.273,0.0,0.0449,0.722,99.197,4,rock
7yn0E97MoGLBaW8mqIwqNr,Vishal Dadlani;Amit Trivedi,Udta Punjab,Ud-daa Punjab,59,274701,False,0.909,0.906,1,-3.701,1,0.206,0.09,1.25e-05,0.287,0.625,121.996,4,hip-hop
3dKlTiPC2NTfrnlmM43TuX,Wisin & Yandel,Perreo Tenebroso Vol. 2,Pam Pam,0,227280,False,0.874,0.69,10,-6.373,1,0.114,0.121,0.0,0.249,0.735,95.025,4,hip-hop
0VDbQ47H6Zn0zTdMziB0ex,Wisin & Yandel,Perreo Tenebroso Vol. 5,Tu Olor,0,246853,False,0.821,0.753,1,-5.27,0,0.0817,0.0148,6.13e-06,0.109,0.364,114.983,4,hip-hop
6UeMjHhzYnidHi7I4isoGg,AP Dhillon;Gurinder Gill;Gminxr,Most Wanted,Most Wanted,60,184090,False,0.85,0.573,8,-6.759,1,0.274,0.0439,0.0,0.0871,0.49,88.05,4,hip-hop
2GfARslWOjzRUtqCemkJmF,Jack Harlow,Upbeat 20's,First Class,0,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop
7e6qTHVfRdaYsio90s1fHC,Vishal Dadlani,Zindagi Na Milegi Dobara,Ik Junoon (Paint It Red),60,299119,False,0.79,0.848,2,-7.798,1,0.0508,0.364,0.00147,0.148,0.641,127.034,4,hip-hop
1VQIWTMzZUeJM5HmLwaKEp,Ty Dolla $ign;Kehlani,2Step - Pop R'n'B,Universe,3,220138,False,0.596,0.473,9,-9.381,0,0.218,0.0273,0.0,0.203,0.365,157.0,4,hip-hop
3F0I9AkbRwz12yz7Hxn0bF,Sukhbir;Ikka,Hindi Medium,Oh Ho Ho Ho (Remix),60,244416,False,0.676,0.935,5,-3.499,0,0.0892,0.00917,0.0,0.097,0.802,144.944,4,hip-hop
2bIllkzKKCotWs0AuCsIoh,Burna Boy;Wizkid,2Step - Pop R'n'B,B. D’OR,2,189800,False,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,4,hip-hop
1JWWwXFfNKi6ioDZOaa9jX,Future;Lil Uzi Vert,Tic Tac - Just Rap,Tic Tac,0,189147,True,0.942,0.566,11,-4.834,1,0.226,0.0773,0.0,0.11,0.479,132.858,4,hip-hop
5LEjxlKCcYH8irGpRtjbj0,Karan Aujla,Adhiya,Adhiya,58,177397,False,0.753,0.758,10,-7.845,0,0.168,0.0901,0.0,0.0717,0.794,92.063,4,hip-hop
57DhVYA7E1CyrE4OKuyLb7,Maninder Buttar,Ik Tera,Ik Tera,69,160768,False,0.826,0.712,11,-5.219,0,0.0727,0.095,0.0,0.105,0.49,93.029,4,hip-hop
3G1o1dkJIyY38yfiVDkwNP,Ty Dolla $ign;Kanye West;FKA twigs;Skrillex,20's R'n'B,Ego Death,0,231618,False,0.818,0.598,10,-5.948,0,0.113,0.0573,1.32e-06,0.634,0.331,111.052,4,hip-hop
4B8RTAHSPfYpV222GsmEjq,Don Omar,Fiesta portatil,Zumba,2,263973,False,0.718,0.891,9,-3.494,0,0.0404,0.00175,0.0146,0.138,0.828,124.981,4,hip-hop
1pFOGFtQyqdlFgzmSVJ2fz,Prabh Gill,Adore You,Adore You,57,60000,False,0.708,0.631,9,-5.977,1,0.196,0.646,0.0,0.342,0.851,83.813,4,hip-hop
3uRrymHwcED49Q4fAnJJgD,Lizzo;DaBaby,Energy Hip Hop,Truth Hurts - DaBaby Remix,0,197610,True,0.706,0.627,4,-2.94,0,0.202,0.193,0.0,0.126,0.38,158.041,4,hip-hop
5aa4zMfrJ16iDnS6UIKtlL,Daler Mehndi;Hrishikesh;Neuman;FRANCO;Shazneen Arethna;Samantha;Sunayana,Hanuman Returns,Aasman Ko Chukar,64,274081,False,0.536,0.438,7,-12.894,1,0.103,0.119,0.0,0.129,0.127,144.626,4,hip-hop
3C6ST7yv6lmAH0sJEoGmJC,Burna Boy;Ed Sheeran,Totally Rap,For My Hand,0,159123,False,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,4,hip-hop
0Fs9cdPDhptWEDJmiCbkEW,J. Cole;Cults;Amber Coffman,Born Sinner (Deluxe Version),She Knows (feat. Amber Coffman & Cults),82,296520,True,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,4,hip-hop
2a7zxjZ1I88Z6sYm0ThuSc,Jordan Sandhu;Mehar Vaani;Desi Crew,Black Effect,Black Effect,62,175890,False,0.676,0.739,4,-5.319,0,0.159,0.137,0.0,0.233,0.755,146.056,4,hip-hop
2kbxGCtWSV0f1ON720Bd4O,Anirudh Ravichander;Alisha Thomas,Maari (Original Motion Picture Soundtrack),Don'u Don'u Don'u - The Don's Romance,59,195709,False,0.776,0.82,8,-4.405,0,0.0414,0.287,0.000361,0.242,0.773,89.982,4,hip-hop
1kJL5ouqpWRitSej8fdTor,Sidhu Moose Wala,Moosetape,GOAT,64,214883,False,0.724,0.728,4,-4.146,0,0.218,0.0459,5.84e-06,0.122,0.47,172.059,4,hip-hop
0eu4C55hL6x29mmeAjytzC,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Life Goes On,79,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,hip-hop
6IdUSDkIkBP7ZmTIZrZiVV,Jack Harlow,Ghetto Superstar - New Rap Classics,Dua Lipa,2,135053,True,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,4,hip-hop
7sp9SYjIBBniAJ7xa1nkZh,King,Champagne Talk,Champagne Talk,58,163008,False,0.677,0.68,1,-5.19,0,0.103,0.0616,4.49e-05,0.0812,0.473,189.954,4,hip-hop
5Y35bkxA5od9mlkPuN9Tit,Daddy Yankee,Clásicos de ahora: Perreo,RUMBATÓN,0,248768,False,0.685,0.909,3,-4.034,0,0.0396,0.0471,0.0,0.35,0.922,95.004,4,hip-hop
1DIXPcTDzTj8ZMHt3PDt8p,Coolio;L.V.,Gangsta's Paradise,Gangsta's Paradise,89,240693,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,hip-hop
21Rm35JATSSdA41rl7Qf8V,Don Omar;Zion & Lennox,Carrete con besties,Te Quiero Pa´Mi,0,212026,False,0.765,0.816,1,-3.99,1,0.0595,0.124,8.19e-05,0.197,0.624,89.005,4,hip-hop
4oKcFaWmBSF3SGGYo4qq6R,DIVINE,Teesri Manzil,Teesri Manzil,56,205880,False,0.668,0.88,0,-7.057,1,0.261,0.217,1.95e-06,0.114,0.399,90.946,4,hip-hop
6TzrZUKi2XFvGIBzqMGR7e,Don Omar,Esto me suena a Farra,Guaya Guaya,0,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,hip-hop
3qKapskdglWDCqA7evO3Ux,Melody Gardot;FKJ,LoFi & Halloween,It Gonna Come - FKJ Remix,0,224506,False,0.592,0.541,7,-8.703,1,0.0533,0.655,0.00157,0.159,0.54,95.728,4,jazz
3IeXqCUNquwfnUQrEXSDnu,Leman Sam,İlla,Ayrılığa Dayanamam,43,195626,False,0.645,0.37,7,-8.955,1,0.0367,0.82,0.0,0.177,0.53,126.029,4,jazz
51c0n7GwlM1eUtSq9B7a1v,BLOSSOM DEARIE,Jazz Romance,Tea For Two,0,204133,False,0.439,0.0196,3,-25.34,0,0.0378,0.959,2.19e-05,0.13,0.162,102.338,4,jazz
29aFRSKkk2kYToZF3JgVJC,Julie London,Desayuno en calma,I'm In The Mood For Love,0,149826,False,0.58,0.0545,9,-14.594,0,0.0473,0.963,0.000265,0.0967,0.177,123.341,4,jazz
0B1HBdtLt2ebn2iHPPn65L,Dean Martin,Jingle Bell Rock 2022,"Baby, It's Cold Outside",0,143733,False,0.439,0.196,0,-16.093,1,0.0601,0.88,0.0,0.0513,0.525,129.581,4,jazz
2LxGrlboLTVvmegFyRtdP5,Sertab Erener;Can Bonomo,İyiliğe Ninniler,Fış Fış Kayıkçı,45,424029,False,0.657,0.134,0,-13.431,1,0.0357,0.986,0.0,0.114,0.119,117.838,4,jazz
7vc0GwMQ3XlZHGYktErg5I,Peggy Lee,pov: you are walking in a winter wonderland,The Christmas Waltz,0,173106,False,0.25,0.168,1,-16.789,0,0.0329,0.822,0.000135,0.136,0.141,107.269,3,jazz
0VXJD6Gf5pUmEvMdvgcuBM,Natalie Cole,Coffee Break,Coffee Time,1,148333,False,0.748,0.31,8,-8.917,1,0.0448,0.488,0.0,0.136,0.499,129.924,4,jazz
3K2js6iGwWiAoMpCkuJG7M,Yura Yunita,Buktikan,Buktikan,39,186642,False,0.771,0.664,8,-3.825,1,0.0443,0.172,0.000114,0.0926,0.672,96.965,4,jazz
1LFJLpGF7gexCurvUsjqG9,Ella Fitzgerald,Santa Claus Is Coming To Town,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,jazz
0sjxRg1VlYfx4YG7uxurrq,Nina Simone,I Put A Spell On You,I Put A Spell On You,66,155026,False,0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,3,jazz
4EkUrEYfuH6rycfOg9zeYS,Norah Jones,Jingle Bell Rock 2022,I Dream Of Christmas,0,203906,False,0.409,0.71,6,-6.215,1,0.0398,0.15,0.285,0.171,0.376,107.566,4,jazz
3UIZQZjOU6I2ru33kRvcV7,Peggy Lee,Classic Christmas Music 2022,It's Christmas Time Again,0,180960,False,0.393,0.173,5,-10.536,1,0.0304,0.868,0.0,0.146,0.223,105.587,5,jazz
0HLLXulya71QkF53jef2U3,Ceylan Ertem,Yine De Amin,Kovdum,39,225777,False,0.483,0.49,6,-7.935,1,0.04,0.819,0.000109,0.157,0.247,77.141,4,jazz
0eGSoRXnMmIlkwJaZAt2fi,Sammy Davis Jr.,pov: you are an christmas elf,Something's Gotta Give - Single Version,0,124040,False,0.558,0.341,9,-8.722,0,0.0452,0.727,0.0,0.0601,0.638,138.656,3,jazz
1xU4U0HkoKrDAkKxbTbda6,Kenny Burrell,Ultimate Calm Christmas Jazz,Merry Christmas Baby,0,205053,False,0.499,0.17,8,-15.412,0,0.0422,0.862,0.00108,0.085,0.269,94.45,3,jazz
761gSqtu2luRrFCRnH1hpz,Nat King Cole;John Legend,Rockin' Around The Christmas Tree 2022,The Christmas Song (Chestnuts Roasting On An Open Fire),0,210026,False,0.226,0.382,1,-9.243,1,0.0288,0.845,0.0,0.111,0.165,81.943,4,jazz
0f7a6m3AFaFM6uSG4PASl0,Isaac Hayes,pov: you rock around the christmas tree,The Mistletoe And Me,0,239280,False,0.331,0.42,5,-9.251,1,0.0292,0.658,2.64e-05,0.0537,0.157,95.862,4,jazz
0UsdtLayy7SqJ4rUsDMRk8,Doris Day,With A Smile And A Song,"Perhaps, Perhaps, Perhaps",59,151706,False,0.616,0.271,9,-12.215,0,0.0414,0.759,8.47e-06,0.0781,0.649,104.519,4,jazz
6BwxBmAMwn45gGbNtw1VE3,Nat King Cole,Calm Christmas,The Christmas Song (Merry Christmas To You) - Remastered,0,188266,False,0.294,0.253,1,-13.146,1,0.0349,0.884,6.3e-06,0.132,0.234,85.256,4,jazz
4AUror8X0wwt0KSpTJmGHW,Dinah Washington;Brook Benton,60s Christmas Party,Baby (You've Got What It Takes),0,169933,False,0.683,0.668,3,-8.36,1,0.0749,0.833,2.75e-06,0.0548,0.77,132.192,4,jazz
4fV4ENJPXONNMtGiujA2Hj,Ella Fitzgerald,Best Christmas Playlist Ever 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,jazz
5ojiOUgbkHXe1Jor1NlHAi,Nat King Cole,Weihnachtslieder 2022,The Christmas Song (Merry Christmas To You),0,192160,False,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz
2i6Zgt3uFaupWIcpvRORMn,B.B. King,Home For Christmas 2022,Please Come Home For Christmas,0,291440,False,0.498,0.533,10,-7.337,1,0.0245,0.261,0.0471,0.314,0.288,96.459,3,jazz
7tfSlkyv8xmyoUEGd53mBC,Ella Fitzgerald;Louis Armstrong,Coffee Break,Dream A Little Dream Of Me - Single Version,0,187693,False,0.45,0.25,0,-8.333,1,0.096,0.909,0.0,0.131,0.377,82.108,4,jazz
4tMBFkwGyBlZj2Rl1R7mwP,Ella Fitzgerald,Christmas Soul Classics,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz
7GPKkJbfSduDWyoVvuaGq9,Nina Simone,Top Trending Romania - Vara 2022,Strange Fruit,1,209578,False,0.445,0.0553,11,-10.806,0,0.053,0.938,0.0,0.0865,0.22,87.228,1,jazz
2awoFGsXQwiU935BUlM6Wf,Gil Scott-Heron,Glitch The Ultimate Fantasy Playlist,Alien,0,572426,False,0.459,0.727,2,-11.668,1,0.593,0.766,0.0,0.959,0.596,107.96,4,jazz
7AHF3V7qRPhZV7gzJLZ3CL,Lester Young,The Complete Aladdin Recordings Of Lester Young,These Foolish Things - Remastered 1995,55,190933,False,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,4,jazz
28njLrZycTveXnYxP5CmbH,Charlie Haden;Hank Jones,Ultimate Calm Christmas Jazz,It Came Upon The Midnight Clear,0,176653,False,0.494,0.0421,10,-26.853,1,0.0453,0.981,0.928,0.104,0.264,112.015,3,jazz
2P7MjfY0QD7jPeYfksJDdV,Rahul Deshpande;Jidnesh Vaze,Me Vasantrao (Original Motion Picture Soundtrack),Lalana,32,212068,False,0.619,0.626,10,-4.484,0,0.0368,0.555,0.0,0.308,0.815,72.265,4,classical
2C9ZfqsCQ2bSI51q4uJHaU,Wolfgang Amadeus Mozart;Florian Birsak,Mozart - All Day Classics,"Modulating Prelude, K.284a/2",24,42586,False,0.534,0.15,0,-14.58,0,0.0422,0.984,0.2,0.248,0.53,84.359,4,classical
